lang,sent_len,kind,num_trees,mean_dep_distance,mean_intervener_complexity,mean_tree_density,mean_tree_depth,mean_max_arity,mean_high_arity_node_proportion
ar,2,random,75,0.2733333333333333,1.0,0.48444444444444473,1.4533333333333334,1.5466666666666666,0.0
ar,2,real,75,0.0,1.0,0.31777777777777766,2.0,1.0,0.0
ar,3,random,133,0.49874686716791966,1.1127819548872182,0.5,2.0,2.0,0.039473684210526314
ar,3,real,133,0.09022556390977443,1.0,0.46015037593984964,2.8721804511278197,1.1278195488721805,0.0
ar,4,random,50,0.73,1.27,0.52,2.48,2.26,0.05600000000000001
ar,4,real,50,0.3133333333333335,1.0066666666666668,0.41380952380952357,3.18,1.82,0.006857142857142857
ar,5,random,114,0.9771929824561404,1.370175438596491,0.5131578947368423,2.789473684210526,2.543859649122807,0.0730994152046784
ar,5,real,114,0.4824561403508772,1.1535087719298245,0.42550821498189945,3.236842105263158,2.0526315789473686,0.012583542188805346
ar,6,random,76,1.2192982456140349,1.4999999999999998,0.505639097744361,2.986842105263158,2.6973684210526314,0.09022556390977451
ar,6,real,76,0.5736842105263156,1.0842105263157902,0.44650689223057627,3.8947368421052633,2.276315789473684,0.03764619883040935
ar,7,random,116,1.5160098522167487,1.6588669950738926,0.5,3.2241379310344827,3.0689655172413794,0.09482758620689655
ar,7,real,116,0.6479885057471264,1.14080459770115,0.4508381226053639,4.120689655172414,2.4827586206896552,0.05684865900383141
ar,8,random,129,1.7412790697674418,1.7596899224806202,0.4969853574504736,3.4108527131782944,3.201550387596899,0.10680447889750193
ar,8,real,129,0.8150609080841641,1.2081949058693233,0.4465037976665881,4.348837209302325,2.8449612403100777,0.07917547568710347
ar,9,random,106,1.9696016771488463,1.9150943396226405,0.5066037735849057,3.660377358490566,3.3867924528301887,0.11132075471698093
ar,9,real,106,0.7535377358490566,1.1721698113207548,0.45562519241764515,4.754716981132075,2.7452830188679247,0.07222368826142403
ar,10,random,141,2.2382978723404268,2.0758865248226948,0.5087040618955511,3.8652482269503547,3.4893617021276597,0.11154094132817557
ar,10,real,141,0.7746256895193062,1.1820330969267154,0.4631320216426599,4.98581560283688,2.879432624113475,0.07324531260701479
ar,11,random,134,2.5644504748982357,2.2415196743554966,0.5024875621890548,3.91044776119403,3.6641791044776117,0.11194029850746275
ar,11,real,134,0.8432835820895522,1.2074626865671627,0.46859657755180145,5.3059701492537314,2.91044776119403,0.0798644141927724
