lang,sent_len,kind,num_trees,mean_dep_distance,mean_intervener_complexity,mean_tree_density,mean_tree_depth,mean_max_arity,mean_high_arity_node_proportion
ja,2,random,36,0.0,1.0,0.3333333333333334,2.0,1.0,0.0
ja,2,real,36,0.0,1.0,0.3240740740740742,2.0,1.0,0.0
ja,3,random,95,0.3263157894736842,1.105263157894737,0.42105263157894735,2.6842105263157894,1.3157894736842106,0.0
ja,3,real,95,0.46842105263157896,1.0,0.35789473684210527,2.473684210526316,1.5263157894736843,0.0
ja,4,random,103,0.676375404530744,1.3268608414239476,0.4504854368932039,3.2524271844660193,1.7475728155339805,0.025242718446601944
ja,4,real,103,0.5533980582524275,1.0032362459546924,0.35053166897827037,2.7864077669902914,2.2135922330097086,0.04627831715210358
ja,5,random,151,0.9966887417218543,1.4867549668874172,0.4955849889624724,3.9006622516556293,1.9205298013245033,0.025386313465783655
ja,5,real,151,0.6589403973509934,1.0413907284768211,0.35493535162409356,3.033112582781457,2.562913907284768,0.0744638915168716
ja,6,random,153,1.3124183006535945,1.7228758169934628,0.5154061624649857,4.437908496732026,2.130718954248366,0.02987861811391223
ja,6,real,153,0.7542483660130714,1.0771241830065357,0.35231870525988185,3.215686274509804,2.8300653594771243,0.08693847909534179
ja,7,random,206,1.6966019417475737,1.902103559870552,0.5309466019417476,4.786407766990291,2.2864077669902914,0.038834951456310676
ja,7,real,206,0.8972491909385114,1.101941747572815,0.3434895067176621,3.3737864077669903,3.325242718446602,0.10134475826223395
ja,8,random,226,2.0126422250316067,2.075221238938053,0.5378564405113082,5.20353982300885,2.349557522123894,0.03736479842674527
ja,8,real,226,0.9260429835651082,1.1144121365360287,0.34056270671314876,3.5309734513274336,3.561946902654867,0.11499508357915417
ja,9,random,234,2.2446581196581197,2.2585470085470085,0.5555555555555548,5.752136752136752,2.47008547008547,0.0418803418803418
ja,9,real,234,0.968482905982906,1.126602564102564,0.34405694021078603,3.8162393162393164,3.752136752136752,0.11776144083836404
ja,10,random,225,2.669629629629631,2.5012345679012347,0.5559595959595967,6.164444444444444,2.533333333333333,0.04363636363636367
ja,10,real,225,1.069135802469135,1.1812345679012366,0.357053687053687,4.004444444444444,3.7911111111111113,0.1167155067155068
ja,11,random,264,3.0189393939393923,2.7204545454545452,0.5587121212121215,6.333333333333333,2.662878787878788,0.05082070707070712
ja,11,real,264,1.1136363636363635,1.1977272727272723,0.3580052300640535,4.143939393939394,4.003787878787879,0.11825617193264243
