lang,sent_len,kind,num_trees,mean_dep_distance,mean_intervener_complexity,mean_tree_density,mean_max_arity,mean_high_arity_node_proportion
hi,2,random,23,0.0,1.0,0.3333333333333332,1.0,0.0
hi,2,real,23,0.0,1.0,0.3333333333333332,1.0,0.0
hi,3,random,4,0.125,1.0,0.4375,1.25,0.0
hi,3,real,4,0.25,1.0,0.25,2.0,0.0
hi,4,random,21,0.6507936507936508,1.1111111111111112,0.41904761904761906,1.9047619047619047,0.028571428571428574
hi,4,real,21,0.47619047619047616,1.0,0.26349206349206356,2.6666666666666665,0.1301587301587302
hi,5,random,71,0.8943661971830986,1.2183098591549295,0.4436619718309858,2.0985915492957745,0.037558685446009384
hi,5,real,71,0.6619718309859155,1.102112676056338,0.3044936284372904,3.0704225352112675,0.12994634473507716
hi,6,random,159,1.0553459119496862,1.328301886792452,0.4573225516621747,2.408805031446541,0.056603773584905696
hi,6,real,159,0.8188679245283011,1.1748427672955972,0.3407956473994209,3.30188679245283,0.12086952181291787
hi,7,random,227,1.3076358296622612,1.4324522760646112,0.47301762114537443,2.6651982378854626,0.06552863436123348
hi,7,real,227,0.9720998531571226,1.2180616740088102,0.33838717572197746,3.6211453744493394,0.12134116495349975
hi,8,random,310,1.3944700460829487,1.5345622119815667,0.4881720430107529,2.703225806451613,0.0666666666666665
hi,8,real,310,1.1110599078341015,1.2622119815668218,0.35281199087650633,3.8096774193548386,0.11682958618442492
hi,9,random,430,1.6651162790697673,1.6575581395348837,0.49534883720930273,2.8813953488372093,0.07093023255813981
hi,9,real,430,1.2145348837209302,1.3002906976744186,0.3539358703312206,4.065116279069767,0.12487315010570915
hi,10,random,530,1.8417190775681345,1.7241090146750528,0.4958833619210978,3.0377358490566038,0.07632933104631236
hi,10,real,530,1.3406708595387835,1.3215932914046096,0.3500259174787496,4.333962264150943,0.12138113458868229
hi,11,random,605,1.9588429752066119,1.8259504132231406,0.5050964187327823,3.1504132231404958,0.08126721763085429
hi,11,real,605,1.437190082644628,1.3755371900826445,0.36106461720098143,4.441322314049587,0.1201242696697243
