lang,sent_len,kind,num_trees,mean_dep_distance,mean_intervener_complexity,mean_tree_density,mean_max_arity,mean_high_arity_node_proportion
zh,3,random,1,0.0,1.0,0.5,1.0,0.0
zh,3,real,1,0.0,1.0,0.5,1.0,0.0
zh,6,random,15,1.0533333333333335,1.3333333333333333,0.4666666666666667,2.3333333333333335,0.04761904761904761
zh,6,real,15,0.8,1.173333333333333,0.3630952380952381,2.7333333333333334,0.07261904761904761
zh,7,random,40,1.3208333333333335,1.4583333333333335,0.48125,2.6,0.06875
zh,7,real,40,0.8125000000000002,1.195833333333333,0.3920770202020203,2.975,0.09130050505050506
zh,8,random,96,1.5267857142857142,1.5863095238095237,0.49421296296296285,2.7291666666666665,0.07291666666666659
zh,8,real,96,1.1369047619047614,1.2247023809523812,0.35757049663299645,3.59375,0.10432975589225575
zh,9,random,128,1.51171875,1.56640625,0.49296874999999984,2.90625,0.07890624999999989
zh,9,real,128,1.2587890625,1.2724609375,0.36842948717948704,3.6953125,0.1166020177738927
zh,10,random,146,1.9337899543378994,1.8112633181126332,0.4981320049813199,2.958904109589041,0.07845579078455801
zh,10,real,146,1.343226788432268,1.3310502283105043,0.3835091848790479,3.6780821917808217,0.10975611146844035
zh,11,random,162,1.9746913580246916,1.8067901234567911,0.5005144032921806,3.1790123456790123,0.08281893004115233
zh,11,real,162,1.390740740740742,1.3382716049382704,0.3818475324602776,3.9814814814814814,0.11218384314789534
