lang,sent_len,kind,num_trees,mean_dep_distance,mean_intervener_complexity,mean_tree_density,mean_max_arity,mean_high_arity_node_proportion
tr,2,random,214,0.0,1.0,0.33333333333333365,1.0,0.0
tr,2,real,214,0.0,1.0,0.3286604361370721,1.0,0.0
tr,3,random,283,0.31625441696113077,1.0017667844522968,0.3833922261484099,1.4664310954063604,0.0
tr,3,real,283,0.2950530035335689,1.0017667844522968,0.33168433451118984,1.6325088339222615,0.0
tr,4,random,353,0.619452313503305,1.1161473087818679,0.4328611898017003,1.8356940509915014,0.028328611898016987
tr,4,real,353,0.5080264400377714,1.0755429650613775,0.35119384864427505,2.186968838526912,0.04749763928234177
tr,5,random,350,0.8592857142857143,1.2292857142857143,0.44952380952381005,2.162857142857143,0.03857142857142853
tr,5,real,350,0.6821428571428572,1.1257142857142857,0.3613605442176869,2.5428571428571427,0.07316326530612255
tr,6,random,289,1.1363321799307955,1.3750865051903096,0.4671280276816612,2.411764705882353,0.053880375679683574
tr,6,real,289,0.8089965397923881,1.1813148788927306,0.38292277695391974,2.7508650519031144,0.0764815730213653
tr,7,random,255,1.299346405228757,1.4542483660130725,0.46862745098039216,2.6588235294117646,0.07058823529411765
tr,7,real,255,0.9464052287581702,1.2686274509803925,0.39790057437116244,2.9176470588235293,0.08687561893444239
tr,8,random,205,1.4648083623693373,1.5658536585365854,0.48075880758807576,2.7804878048780486,0.07100271002710011
tr,8,real,205,1.0195121951219512,1.2996515679442495,0.40887410692288706,3.0585365853658537,0.09208179354520804
tr,9,random,224,1.6026785714285714,1.6043526785714286,0.4946428571428575,2.857142857142857,0.07187499999999983
tr,9,real,224,1.1484375,1.3392857142857142,0.3965058007468721,3.325892857142857,0.09753750713572147
tr,10,random,149,1.80089485458613,1.703206562266965,0.4948139109212935,2.9731543624161074,0.07443563148261144
tr,10,real,149,1.247576435495898,1.3997017151379592,0.40498762981984454,3.48993288590604,0.09980858068106403
tr,11,random,135,2.04,1.8674074074074065,0.5135802469135804,3.274074074074074,0.08086419753086423
tr,11,real,135,1.3037037037037038,1.4200000000000006,0.41160126728754187,3.4814814814814814,0.09421069852442397
